식당이름,서비스
201호,"콜키지 가능,무선 인터넷,단체 이용 가능,반려동물 동반,배달,주차 불가"
37.5 시그니처 성수,"콜키지 가능,포장,무선 인터넷,예약,반려동물 동반,유아의자,단체 이용 가능,배달,남/녀 화장실 구분,주차 불가"
ATE 성수,"콜키지 가능,생일 혜택,포장,반려동물 동반,무선 인터넷,예약,단체 이용 가능,주차 가능(유료)"
bd버거 성수,"예약,무선 인터넷,단체 이용 가능,배달,포장"
Bored&Hungry,"생일 혜택,콜키지 가능,단체 이용 가능,포장,배달,무선 인터넷,반려동물 동반,주차 가능(유료)"
ERN,"단체 이용 가능,예약,무선 인터넷"
HDD피자,"포장,방문접수/출장,무선 인터넷,반려동물 동반"
가나초콜릿하우스,"무선 인터넷,주차 불가"
갓잇 성수홀리워터점,"포장,배달,무선 인터넷,주차 불가"
계월,"포장,배달"
고우성수,"단체 이용 가능,무선 인터넷,주차 불가"
규카츠정 성수점,"무선 인터넷,유아의자,주차 불가"
까사아지오 성수본점,"콜키지 가능,무선 인터넷,예약,포장,단체 이용 가능,반려동물 동반,주차 불가"
깔리뇨타코,"포장,무선 인터넷,예약,주차 불가"
꾸아 성수점,"무선 인터넷,주차 불가"
꿉당 성수점,"남/녀 화장실 구분,무선 인터넷,단체 이용 가능,주차 불가"
난포,"무선 인터넷,포장,남/녀 화장실 구분,배달,주차 불가"
누메로도스,"콜키지 가능,단체 이용 가능,예약,무선 인터넷,주차 불가"
뉴믹스커피,"단체 이용 가능,포장,무선 인터넷,반려동물 동반,주차 불가"
능동미나리 성수직영점,"단체 이용 가능,남/녀 화장실 구분,주차 불가"
니카이 우동,"생일 혜택,콜키지 가능,무선 인터넷,대기공간,반려동물 동반,좌석 휠체어 이용가능,주차 가능(유료)"
다반,"단체 이용 가능,무선 인터넷,반려동물 동반,남/녀 화장실 구분,주차 불가"
다이닝 목로 성수점,"콜키지 가능,생일 혜택,예약,포장,주차 가능(유료)"
담솥 성수점,"단체 이용 가능,남/녀 화장실 구분,무선 인터넷,주차 불가"
대낚식당 성수직영점,"배달,포장"
대림국수 성수점,"단체 이용 가능,남/녀 화장실 구분,주차 불가"
대성갈비,단체 이용 가능
대취,
댓길함박,주차 불가
데이릿,"단체 이용 가능,배달,포장,예약,무선 인터넷"
뚝도농원 성수본점,"콜키지 가능,남/녀 화장실 구분,대기공간,주차 불가"
라무라 성수,"무선 인터넷,남/녀 화장실 구분"
루비스카페 SM성수점,"콜키지 가능,포장,무선 인터넷,남/녀 화장실 구분,단체 이용 가능,주차 불가"
르프리크,"무선 인터넷,포장,주차 가능"
리볼리,
리타르단도,"콜키지 가능,와인 페어링,비건 메뉴,예약,무선 인터넷,포장,배달,단체 이용 가능,노키즈존,주차 불가"
리틀포레스트,"비건 메뉴,콜키지 가능,예약,단체 이용 가능,포장,배달,무선 인터넷,반려동물 동반,주차 불가"
마리오네,"무선 인터넷,포장,주차 불가"
마하차이 성수본점,"예약,배달,포장,무선 인터넷,남/녀 화장실 구분,주차 불가"
맥시크,"콜키지 가능,단체 이용 가능,예약,무선 인터넷,반려동물 동반,남/녀 화장실 구분,유아의자,포장,주차 불가"
메종 파이프그라운드,"콜키지 가능,남/녀 화장실 구분,무선 인터넷,배달,포장,단체 이용 가능,예약,주차 가능(무료)"
멘츠루 성수점,"단체 이용 가능,포장,무선 인터넷,남/녀 화장실 구분,대기공간,장애인 휠체어 이용가능,주차 불가"
무식당 성수본점,"단체 이용 가능,남/녀 화장실 구분,무선 인터넷,예약"
문화식당,"콜키지 가능,단체 이용 가능,무선 인터넷,포장,예약,주차 불가"
미도인 성수,"단체 이용 가능,무선 인터넷,포장,남/녀 화장실 구분,배달,대기공간,주차 불가"
미쁘동 서울숲,"포장,배달,예약,무선 인터넷,반려동물 동반"
미스타쌀국수 성수점,"단체 이용 가능,포장,대기공간,배달,무선 인터넷,주차 불가"
미테이블 성수점,"콜키지 가능,비건 메뉴,포장,배달,무선 인터넷,예약,대기공간,출입구 휠체어 이용가능,주차 불가"
버섯집,"포장,무선 인터넷"
벱,"무선 인터넷,단체 이용 가능,포장,주차 불가"
봄의정원 성수점,"단체 이용 가능,예약,무선 인터넷,남/녀 화장실 구분"
봉땅 서울숲점,"테이크아웃 할인,단체 이용 가능,포장,배달,반려동물 동반,주차 불가"
부우이 성수,"콜키지 가능,단체 이용 가능,예약,무선 인터넷,반려동물 동반,유아의자,남/녀 화장실 구분,주차 불가"
브리비트,"단체 이용 가능,포장,배달,예약,유아의자,무선 인터넷,주차 불가"
빙봉,"무선 인터넷,포장,배달,유아의자,주차 불가"
빠오즈푸 서울숲직영점,
뽈로파스타 서울숲,"콜키지 가능,단체 이용 가능,포장,예약,무선 인터넷,반려동물 동반,주차 불가"
산도스 성수,"생일 혜택,콜키지 가능,로스터리,포장,배달,예약,반려동물 동반,단체 이용 가능,무선 인터넷,대기공간,유아의자,주차 불가"
살라댕템플,"콜키지 가능,와인 페어링,무선 인터넷,남/녀 화장실 구분,주차 가능(유료)"
샤블리 성수서울숲점,"콜키지 가능,무한 리필,비건 메뉴,예약,남/녀 화장실 구분,유아의자,단체 이용 가능,대기공간,주차 불가"
서울숲누룽지통닭구이,"단체 이용 가능,포장,무선 인터넷,배달"
서울숲포도피자 성수,"단체 이용 가능,예약,무선 인터넷,포장,반려동물 동반,대기공간,주차 불가"
성수AGU,
성수다락,"무선 인터넷,단체 이용 가능,예약,포장,배달,주차 불가"
성수명당,"단체 이용 가능,예약,무선 인터넷,반려동물 동반,포장,대기공간,주차 불가"
성수신데렐라,"콜키지 가능,예약,주차 불가"
성수온실 성수본점,"콜키지 가능,무선 인터넷,예약,주차 불가"
성수족발,포장
세븐버거스 어 위크,
소랑호젠,"콜키지 가능,남/녀 화장실 구분,무선 인터넷,예약,포장,유아의자,단체 이용 가능,장애인 휠체어 이용가능,출입구 휠체어 이용가능,좌석 휠체어 이용가능,장애인 주차구역,주차 가능(유료)"
소문난성수감자탕,"포장,주차 가능"
소바식당,무선 인터넷
소인수서울 본점,"콜키지 가능,예약,단체 이용 가능,무선 인터넷,남/녀 화장실 구분,배달,포장,유아의자,주차 불가"
스시도쿠 더성수,"콜키지 가능,포장,예약,무선 인터넷,남/녀 화장실 구분,배달,주차 불가"
시옹마오,"무선 인터넷,남/녀 화장실 구분"
신기루오뎅바,"콜키지 가능,단체 이용 가능,무선 인터넷,주차 불가"
신사소곱창 성수점,"예약,단체 이용 가능,남/녀 화장실 구분,주차 불가"
심퍼티쿠시 성수점,"콜키지 가능,단체 이용 가능,예약,남/녀 화장실 구분,무선 인터넷,유아의자,주차 가능(무료)"
싹쓰리곱창,"남/녀 화장실 구분,무선 인터넷,포장,단체 이용 가능,반려동물 동반,예약,유아시설 (놀이방),유아의자,배달,주차 가능(무료)"
쎄콩데live,"콜키지 가능,단체 이용 가능,무선 인터넷,남/녀 화장실 구분,배달,포장,반려동물 동반,예약,주차 불가"
앤드밀 성수점,"포장,무선 인터넷,반려동물 동반"
어라운드데이,"글루텐프리 메뉴,유기농 메뉴,무선 인터넷,반려동물 동반,단체 이용 가능,포장,배달,좌석 휠체어 이용가능,주차 불가"
엘더버거 성수,"단체 이용 가능,반려동물 동반,남/녀 화장실 구분,포장,무선 인터넷"
연남토마 성수점,"단체 이용 가능,예약,무선 인터넷"
오뜨로 성수,"단체 이용 가능,무선 인터넷,남/녀 화장실 구분,포장,예약,대기공간,장애인 휠체어 이용가능,출입구 휠체어 이용가능,좌석 휠체어 이용가능,장애인 주차구역,주차 가능(유료)"
오마카세 오사이초밥 성수직영점,"콜키지 가능,예약,무선 인터넷,단체 이용 가능,주차 불가"
오와리 본점,"콜키지 가능,단체 이용 가능,예약,무선 인터넷,반려동물 동반,남/녀 화장실 구분,주차 불가"
오지상 성수,"무선 인터넷,단체 이용 가능,노키즈존,주차 불가"
오프트,"콜키지 가능,생일 혜택,단체 이용 가능,예약,무선 인터넷,반려동물 동반,포장,배달,주차 불가"
오후,"비건 메뉴,콜키지 가능,무선 인터넷,단체 이용 가능,예약,포장,배달,주차 가능(유료)"
온량,무선 인터넷
요쇼쿠 서울숲 본점,"단체 이용 가능,무선 인터넷,주차 불가"
우동가조쿠 성수점,주차 불가
우리마키 성수점,"포장,무선 인터넷,남/녀 화장실 구분"
위풍당당족발,"예약,단체 이용 가능,포장,배달,무선 인터넷,남/녀 화장실 구분"
육육면관,
이가네양꼬치 성수직영점,"단체 이용 가능,예약,남/녀 화장실 구분,주차 가능(유료)"
이로우,
이오로비스트로 성수점,"글루텐프리 메뉴,무선 인터넷,포장,남/녀 화장실 구분,단체 이용 가능,예약,대기공간,유아의자,장애인 휠체어 이용가능,출입구 휠체어 이용가능,좌석 휠체어 이용가능,장애인 주차구역,주차 가능(무료)"
일상담미 성수점,"콜키지 가능,생일 혜택,와인 페어링,비건 메뉴,단체 이용 가능,포장,예약,무선 인터넷,남/녀 화장실 구분,유아의자,장애인 주차구역,주차 가능(유료)"
잠수교집 성수 직영점,
정돈 성수점,"단체 이용 가능,무선 인터넷,포장,배달,남/녀 화장실 구분,주차 가능"
제스티살룬 성수,"포장,무선 인터넷"
제제,
조조칼국수 성수점,배달
죠죠 성수점,"포장,무선 인터넷,남/녀 화장실 구분,대기공간,주차 가능(무료)"
중앙감속기,"예약,단체 이용 가능,남/녀 화장실 구분,무선 인터넷,포장,주차 불가"
진작다이닝,"포장,배달,무선 인터넷,반려동물 동반,남/녀 화장실 구분,예약"
차만다 서울숲점,"무선 인터넷,예약,주차 불가"
초이다이닝 성수점,"단체 이용 가능,포장"
쵸리상경,"남/녀 화장실 구분,무선 인터넷"
코치,"단체 이용 가능,무선 인터넷,예약"
쿠나,"무선 인터넷,남/녀 화장실 구분,주차 가능"
타코튜즈데이 성수 본점,"콜키지 가능,생일 혜택,단체 이용 가능,예약,무선 인터넷,배달,포장,주차 가능(유료)"
탐광,"무선 인터넷,남/녀 화장실 구분,포장,배달"
